X 155 vars=V0:132,V2:324,V4:724,V6:262,V6:446,V7:734,V8:126,V8:245,V9:158,V11:46 unsat=C1:21,C1:277
X 156 vars=V0:132,V2:412,V4:396,V6:446,V7:222,V7:469,V8:342,V9:118,V9:366,V10:326 unsat=C0:597,C0:725
X 157 vars=V0:132,V2:532,V4:708,V6:53,V6:702,V7:734,V9:622,V10:70,V10:254,V11:542 unsat=C0:85,C0:597
X 158 vars=V0:132,V2:636,V4:148,V6:446,V8:566,V9:13,V9:342,V10:462,V11:238,V11:486 unsat=C1:141,C1:269
X 159 vars=V0:140,V2:60,V4:252,V6:78,V6:382,V7:86,V9:278,V10:237,V10:398,V11:166 unsat=C1:333,C1:589
X 160 vars=V0:140,V2:76,V4:220,V7:102,V8:222,V8:701,V9:246,V10:158,V10:206,V11:166 unsat=C0:29,C0:285
X 161 vars=V0:140,V2:76,V4:732,V6:70,V6:654,V7:102,V8:262,V8:445,V9:550,V11:182 unsat=C1:221,C1:733
X 162 vars=V0:140,V2:124,V4:116,V6:70,V7:102,V7:350,V8:54,V10:430,V11:69,V11:718 unsat=C2:197,C2:325
X 163 vars=V0:140,V2:164,V4:148,V6:70,V7:358,V7:669,V8:478,V9:510,V9:758,V10:462 unsat=C0:29,C0:157
X 164 vars=V0:140,V2:284,V4:460,V6:326,V6:765,V7:102,V9:246,V10:206,V10:390,V11:166 unsat=C0:29,C0:285
X 165 vars=V0:140,V2:316,V4:764,V7:102,V8:62,V8:246,V9:22,V10:182,V10:237,V11:726 unsat=C2:269,C2:525
X 166 vars=V0:140,V2:388,V4:156,V6:70,V8:702,V9:725,V9:734,V10:86,V11:374,V11:622 unsat=C1:85,C1:213
X 167 vars=V0:140,V2:540,V4:460,V6:253,V6:286,V7:566,V8:270,V8:478,V9:486,V11:166 unsat=C2:349,C2:605
X 168 vars=V0:146,V6:420,V6:556,V7:452,V8:596,V8:748,V9:340,V10:172,V11:108,V11:668 unsat=C0:371,C0:644
X 169 vars=V0:148,V2:36,V4:212,V6:709,V6:718,V7:238,V9:638,V10:342,V10:526,V11:558 unsat=C0:229,C0:485
X 170 vars=V0:148,V2:68,V4:4,V6:470,V6:518,V7:478,V9:414,V10:437,V10:534,V11:558 unsat=C1:21,C1:533
X 171 vars=V0:148,V2:132,V4:636,V6:462,V7:238,V7:486,V8:446,V10:566,V11:13,V11:342 unsat=C2:141,C2:269
X 172 vars=V0:148,V2:140,V4:164,V6:462,V8:70,V9:358,V9:669,V10:478,V11:510,V11:758 unsat=C1:29,C1:157
X 173 vars=V0:148,V2:292,V4:212,V6:197,V6:678,V7:702,V8:614,V8:662,V9:622,V11:558 unsat=C2:293,C2:549
X 174 vars=V0:148,V2:324,V4:516,V7:238,V8:454,V8:638,V9:158,V10:318,V10:437,V11:350 unsat=C2:213,C2:469
X 175 vars=V0:148,V2:596,V4:228,V7:238,V8:133,V8:358,V9:638,V10:342,V10:550,V11:558 unsat=C0:229,C0:485
X 176 vars=V0:148,V2:596,V4:740,V6:278,V6:462,V7:238,V8:398,V8:645,V9:174,V11:318 unsat=C1:165,C1:677
X 177 vars=V0:148,V2:684,V4:668,V6:462,V7:101,V7:494,V8:614,V9:134,V9:382,V10:598 unsat=C0:229,C0:357
X 178 vars=V0:156,V2:44,V4:732,V6:141,V6:302,V7:70,V8:286,V8:750,V9:758,V11:182 unsat=C2:237,C2:493
X 179 vars=V0:156,V2:76,V4:524,V6:94,V6:654,V7:102,V9:550,V10:637,V10:670,V11:182 unsat=C1:221,C1:733
X 180 vars=V0:156,V2:140,V4:388,V6:86,V7:374,V7:622,V8:70,V10:702,V11:725,V11:734 unsat=C2:85,C2:213
X 181 vars=V0:156,V2:332,V4:268,V7:374,V8:78,V8:262,V9:294,V10:454,V10:637,V11:742 unsat=C2:157,C2:413
X 182 vars=V0:156,V2:348,V4:236,V7:374,V8:333,V8:494,V9:262,V10:174,V10:478,V11:182 unsat=C0:429,C0:685
X 183 vars=V0:156,V2:348,V4:748,V6:86,V6:670,V7:374,V8:77,V8:534,V9:566,V11:454 unsat=C1:109,C1:621
X 184 vars=V0:156,V2:436,V4:420,V6:86,V7:301,V7:630,V8:750,V9:6,V9:526,V10:734 unsat=C0:429,C0:557
X 185 vars=V0:156,V2:556,V4:732,V6:342,V6:653,V7:374,V9:262,V10:478,V10:662,V11:182 unsat=C0:429,C0:685
X 186 vars=V0:156,V2:660,V4:172,V6:86,V8:206,V9:613,V9:750,V10:102,V11:126,V11:646 unsat=C1:101,C1:741
X 187 vars=V0:164,V2:84,V4:276,V6:22,V6:486,V7:494,V9:686,V10:38,V10:69,V11:574 unsat=C1:165,C1:421
X 188 vars=V0:164,V2:100,V4:244,V7:510,V8:533,V8:630,V9:654,V10:566,V10:614,V11:574 unsat=C0:117,C0:629
X 189 vars=V0:164,V2:100,V4:756,V6:294,V6:478,V7:510,V8:277,V8:670,V9:190,V11:590 unsat=C1:53,C1:565
X 190 vars=V0:164,V2:148,V4:140,V6:478,V7:510,V7:758,V8:462,V10:70,V11:358,V11:669 unsat=C2:29,C2:157
