X 243 vars=V0:40,V1:471,V2:547,V3:301,V4:385,V5:529 unsat=C0:222,C0:330
X 244 vars=V0:40,V2:282,V4:412,V7:184,V9:412,V11:462 unsat=C1:104,C1:176
X 245 vars=V0:40,V2:316,V4:126,V7:522,V9:460,V11:40 unsat=C2:380,C2:452
X 246 vars=V0:40,V2:458,V4:302,V7:26,V9:580,V11:230 unsat=C0:150,C0:222
X 247 vars=V0:41,V1:185,V2:128,V3:415,V4:203,V5:389 unsat=C1:382,C1:490
X 248 vars=V0:41,V1:227,V2:527,V3:23,V4:614,V5:253 unsat=C2:220,C2:328
X 249 vars=V0:41,V1:544,V2:116,V3:626,V4:278,V5:422 unsat=C0:187,C0:295
X 250 vars=V0:41,V2:99,V4:159,V7:531,V9:617,V11:519 unsat=C0:115,C0:187
X 251 vars=V0:41,V2:427,V4:197,V7:617,V9:413,V11:643 unsat=C1:213,C1:285
X 252 vars=V0:41,V2:533,V4:487,V7:271,V9:461,V11:257 unsat=C2:57,C2:129
X 253 vars=V0:42,V1:186,V2:237,V3:596,V4:528,V5:174 unsat=C1:455,C1:563
X 254 vars=V0:42,V1:336,V2:204,V3:348,V4:399,V5:110 unsat=C2:77,C2:617
X 255 vars=V0:42,V1:617,V2:333,V3:303,V4:171,V5:315 unsat=C0:152,C0:260
X 256 vars=V0:42,V2:102,V4:200,V7:20,V9:462,V11:474 unsat=C2:382,C2:454
X 257 vars=V0:42,V2:388,V4:16,V7:388,V9:6,V11:160 unsat=C0:80,C0:152
X 258 vars=V0:42,V2:572,V4:630,V7:402,V9:414,V11:176 unsat=C1:322,C1:394
X 259 vars=V0:43,V1:42,V2:550,V3:628,V4:64,V5:208 unsat=C0:117,C0:225
X 260 vars=V0:43,V1:187,V2:346,V3:129,V4:205,V5:607 unsat=C1:528,C1:636
X 261 vars=V0:43,V1:445,V2:529,V3:25,V4:184,V5:615 unsat=C2:366,C2:474
X 262 vars=V0:43,V2:29,V4:521,V7:245,V9:43,V11:449 unsat=C0:45,C0:117
X 263 vars=V0:43,V2:69,V4:415,V7:187,V9:415,V11:357 unsat=C1:431,C1:503
X 264 vars=V0:43,V2:319,V4:561,V7:417,V9:463,V11:43 unsat=C2:59,C2:131
X 265 vars=V0:43,V3:280,V3:373,V6:178,V6:271,V9:115 unsat=C1:286,C1:448
X 266 vars=V0:44,V1:115,V2:119,V3:305,V4:605,V5:101 unsat=C0:82,C0:190
X 267 vars=V0:44,V1:188,V2:455,V3:310,V4:530,V5:392 unsat=C1:61,C1:601
X 268 vars=V0:44,V1:554,V2:206,V3:350,V4:617,V5:472 unsat=C2:115,C2:223
X 269 vars=V0:44,V2:214,V4:200,V7:620,V9:416,V11:538 unsat=C1:540,C1:612
X 270 vars=V0:44,V2:318,V4:378,V7:102,V9:80,V11:90 unsat=C0:10,C0:82
X 271 vars=V0:44,V2:536,V4:274,V7:166,V9:464,V11:260 unsat=C2:384,C2:456
X 272 vars=V0:45,V1:15,V2:531,V3:27,V4:402,V5:329 unsat=C2:512,C2:620
X 273 vars=V0:45,V1:188,V2:336,V3:630,V4:498,V5:642 unsat=C0:47,C0:155
